Country,Survey,Ship,Quarter,InitialYear,FinalYear,x,Priority,y,z,q,SweepLengthMin,SweepLengthMax,Formula,a,b,c,d
DK,NS-IBTS,,,2004,current year,DoorSpread,1,Depth,,,0,60,x= a+b*exp(c*y),79.386,-33.695,-0.028,
DK,NS-IBTS,,,2004,current year,DoorSpread,1,Depth,,,else,else,x= a+b*exp(c*y),104.502,-316.682,-0.043,
DK,NS-IBTS,,,2004,current year,WingSpread,1,Cal_DoorSpread,,,0,60,x= a+b*y,5.867,0.206,,
DK,NS-IBTS,,,2004,current year,WingSpread,1,Cal_DoorSpread,,,else,else,x= a+b*y,4.9,0.166,,
NL,NS-IBTS,,,2003,2004,DoorSpread,1,Depth,Warplngt,,,,x=a*log(y)+b*log(z)+c,29.544,14.116,-3.456,
NL,NS-IBTS,,,2005,2014,DoorSpread,1,Depth,Warplngt,,,,x=a*log(y)+b*log(z)+c,31.165,0.2974,29.321,
NL,NS-IBTS,,,2015,2016,DoorSpread,1,Depth,Warplngt,,,,x=a*log(y)+b*log(z)+c,28.947,23.372,-32.476,
NL,NS-IBTS,,,2017,current year,DoorSpread,1,Depth,Warplngt,,,,x=a*log(y)+b*log(z)+c,15.842,30.868,-24.793,
NL,NS-IBTS,,,2003,current year,WingSpread,1,Cal_DoorSpread,,,,,x= a+b*y,4.011,0.1909,,
GB-SCT,NS-IBTS,,,2005,current year,DoorSpread,1,Warplngt,,,,,x=a*log(y)+b,24.481,-60.895,,
GB-SCT,NS-IBTS,,,2005,current year,DoorSpread,2,WingSpread,,,,,x=(a*y)+b,4.3277,-3.784,,
GB-SCT,NS-IBTS,,,2005,current year,WingSpread,1,Warplngt,,,,,x=a*log(y)+b,4.6235,-7.3296,,
GB-SCT,NS-IBTS,,,2005,current year,WingSpread,2,Cal_DoorSpread,,,,,x=(a*y)+b,0.1909,4.011,,
FR,NS-IBTS,,,2004,current year,DoorSpread,1,Depth,,,,,x=a+b*y,47.548,0.296,,
FR,NS-IBTS,,,2004,current year,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,9.4306,0.131,,
FR,NS-IBTS,,,2005,current year,WingSpread,2,Depth,,,,,x=a+b*y,15.72,0.038,,
SE,NS-IBTS,,,2004,current year,DoorSpread,1,Depth,,,0,60,x=a*log(y)+b,13.706,26.853,,
SE,NS-IBTS,,,2004,current year,DoorSpread,1,Warplngt,,,else,else,x=a*log(y)+b,29.489,-67.157,,
SE,NS-IBTS,,,2004,current year,WingSpread,2,Depth,,,0,60,x=a*log(x)+b,15.78,-48.248,,
SE,NS-IBTS,,,2004,current year,WingSpread,2,Depth,,,else,else,x=a*log(x)+b,21.231,-77.605,,
SE,NS-IBTS,,,2004,current year,WingSpread,2,Warplngt,,,0,60,x=a*log(x)+b,15.78,-48.284,,
SE,NS-IBTS,,,2004,current year,WingSpread,2,Warplngt,,,else,else,x=a*log(x)+b,21.231,-77.605,,
GB,NS-IBTS,,,2004,current year (- 2006),DoorSpread,3,Average Depth,,,,,x= a*log(y)+b,15.0306,12.6399,,
GB,NS-IBTS,,,2004,current year (- 2006),DoorSpread,2,Warplngt,,,,,x= a*log(y)+b,21.78,-47.2,,
GB,NS-IBTS,,,2004,current year (- 2006),DoorSpread,1,WingSpread,,,,,x=a*y+b,4.616,-15.966,,
GB,NS-IBTS,,,2004,current year (- 2006),WingSpread,3,Average Depth,,,,,x= a*log(y)+b,2.92489,7.43486,,
GB,NS-IBTS,,,2004,current year (- 2006),WingSpread,2,Warplngt,,,,,x= a*log(y)+b,4.074,-3.137,,
GB,NS-IBTS,,,2004,current year (- 2006),WingSpread,1,Cal_DoorSpread,,,,,x=a*y+b,0.1869,5.7416,,
GB,NS-IBTS,,,2006,2006,DoorSpread,3,Average Depth,,,,,x= a*log(y)+b,12.468,17.5865,,
GB,NS-IBTS,,,2006,2006,DoorSpread,2,Warplngt,,,,,x= a*log(y)+b,16.4421,-25.4727,,
GB,NS-IBTS,,,2006,2006,DoorSpread,1,WingSpread,,,,,x=a*y+b,3.8182,-11.9066,,
GB,NS-IBTS,,,2006,2006,WingSpread,3,Average Depth,,,,,x= a*log(y)+b,3.1495,8.2192,,
GB,NS-IBTS,,,2006,2006,WingSpread,2,Warplngt,,,,,x= a*log(y)+b,4.1885,-2.8637,,
GB,NS-IBTS,,,2006,2006,WingSpread,1,Cal_DoorSpread,,,,,x=a*y+b,0.2242,5.7889,,
NO,NS-IBTS,58G2,1,2009,2015,DoorSpread,1,Depth,,,0,60,x=a+b*y+(c*y^2),54.84,0.41,-0.001,
NO,NS-IBTS,58G2,1,2009,2015,DoorSpread,1,Depth,,,else,else,x=a+b*y+(c*y^2),55.7,0.56,-0.001,
NO,NS-IBTS,58G2,1,2015,2015,WingSpread,1,Cal_DoorSpread,,,0,60,x=a+b*y,40.0741,1.9259,,
NO,NS-IBTS,58G2,1,2015,2015,WingSpread,1,Cal_DoorSpread,,,else,else,x=a+b*y,-23.414,6.931,,
NO,NS-IBTS,JHJ,3,2006,"2013 (minus 2009, 2012)",DoorSpread,1,Depth,,,0,60,x=a+b*y+(c*y^2),64.94,0.152,-1.99,
NO,NS-IBTS,JHJ; 58UO; HAV,3,2010,2013 (minus 2012),DoorSpread,1,Depth,,,0,60,x=a+b*y+(c*y^2),64.94,0.152,-1.99,
DE,NS-IBTS,,,2004,current year,DoorSpread,1,WingSpread,Depth,,0,50,x=a+b*y+c*log(z),-7.456,3.616,3.124,
DE,NS-IBTS,,,2004,current year,DoorSpread,1,WingSpread,Depth,,else,else,x=a+b*y+c*log(z),-7.935,5.123,2.366,
DE,NS-IBTS,,,2004,current year,DoorSpread,2,Warplngt,Depth,,0,50,x=a+b*log(y)+c*log(z),-0.441,10.009,4.768,
DE,NS-IBTS,,,2004,current year,WingSpread,1,Cal_DoorSpread,Warplngt,Depth,0,50,x=a+b*y+c*log(z)+d*log(q),3.359,0.095,1.391,0.261
DE,NS-IBTS,,,2004,current year,WingSpread,1,Cal_DoorSpread,Warplngt,Depth,esle,else,x=a+b*y+c*log(z)+d*log(q),3.087,0.118,0.445,0.368
DE,NS-IBTS,,,2004,current year,WingSpread,2,Warplngt,Depth,,0,50,x=a+b*log(y)+c*log(z),3.317,2.341,0.713,
GB-SCT,ROCKALL,,,2005,2009,DoorSpread,1,Depth,,,,,x=a+b*log(y),-23.35,21.27,,
GB-SCT,ROCKALL,,,2005,2009,WingSpread,1,Depth,,,,,x=a+b*log(y),10.16,2.01,,
GB-SCT,SCOROC,,,2016,current,DoorSpread,1,Depth,,,,,x=a+b*log(y),35.7,12.94,,
GB-SCT,SCOROC,,,2017,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,8.61,0.12,,
GB-SCT,SCOROC,,,2016,current,WingSpread,2,Depth,,,,,x=a+b*log(y),13.24,1.39,,
GB-SCT,SWC-IBTS,,,2004,2010,DoorSpread,1,Depth,,,,,x=a+b*log(y),-23.35,21.27,,
GB-SCT,SWC-IBTS,,,2004,2010,WingSpread,1,Depth,,,,,x=a+b*log(y),10.16,2.01,,
GB-SCT,SCOWCGFS,,,2016,current,DoorSpread,1,Depth,,,0,60,x=a+b*log(y),-14.74,19.28,,
GB-SCT,SCOWCGFS,,,2016,current,DoorSpread,1,Depth,,,else,else,x=a+b*log(y),-13.52,22.46,,
GB-SCT,SCOWCGFS,,,2016,current,WingSpread,1,Cal_DoorSpread,,,0,60,x=a+b*y,7.55,0.16,,
GB-SCT,SCOWCGFS,,,2016,current,WingSpread,1,Cal_DoorSpread,,,else,else,x=a+b*y,13.94,0.06,,
GB-SCT,SCOWCGFS,,,2016,current,WingSpread,2,Depth,,,0,60,x=a+b*log(y),1.47,4.03,,
GB-SCT,SCOWCGFS,,,2016,current,WingSpread,2,Depth,,,else,else,x=a+b*log(y),10.28,2.01,,
GB-NIR,NIGFS,,,2005,current,DoorSpread,1,Depth,,,,,x=a+b*log(y),7.49,7.7,,
GB-NIR,NIGFS,,,2005,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,5.28,0.27,,
GB-NIR,NIGFS,,,2005,current,WingSpread,2,Depth,,,,,x=a+b*log(y),8.61,1.79,,
FR,FR-CGFS,35TH,,2015,current,DoorSpread,1,Depth,,,,,x=a+b*log(y),-1.31,15.58,,
FR,FR-CGFS,35TH,,2015,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,7.04,0.17,,
FR,FR-CGFS,35TH,,2015,current,WingSpread,2,Depth,,,,,x=a+b*log(y),6.86,2.61,,
FR,EVHOE,,,2016,current,DoorSpread,1,Depth,,,0,60,x=a+b*log(y),-3.34,16.5,,
FR,EVHOE,,,2016,current,DoorSpread,1,Depth,,,else,else,x=a+b*log(y),16.42,15.56,,
FR,EVHOE,,,2016,current,WingSpread,1,Cal_DoorSpread,,,0,60,x=a+b*y,9.49,0.14,,
FR,EVHOE,,,2016,current,WingSpread,1,Cal_DoorSpread,,,else,else,x=a+b*y,9.95,0.11,,
FR,EVHOE,,,2016,current,WingSpread,2,Depth,,,0,60,x=a+b*log(y),9.07,2.33,,
FR,EVHOE,,,2016,current,WingSpread,2,Depth,,,else,else,x=a+b*log(y),11.71,1.73,,
ES,SP-PORC,,,2016,current,DoorSpread,1,WingSpread,,,,,x=a+b*y,-25.42,7.02,,
ES,SP-PORC,,,2016,current,DoorSpread,2,Depth,,,,,x=a+b*log(y),-31.7,28.81,,
ES,SP-PORC,,,2016,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,9,0.1,,
ES,SP-PORC,,,2016,current,WingSpread,2,Depth,,,,,x=a+b*log(y),10.29,2.03,,
ES,SP-NORTH,,,2016,current,DoorSpread,1,WingSpread,,,,,x=a+b*y,-5.11,5.09,,
ES,SP-NORTH,,,2016,current,DoorSpread,2,Depth,,,,,x=a+b*log(y),4.39,17.62,,
ES,SP-NORTH,,,2016,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,4.74,0.16,,
ES,SP-NORTH,,,2016,current,WingSpread,2,Depth,,,,,x=a+b*log(y),6.73,2.51,,
ES,SP-ARSA,,,2016,current,DoorSpread,1,Depth,,,0,60,x=a+b*log(y),-0.84,14.06,,
ES,SP-ARSA,,,2016,current,DoorSpread,1,Depth,,,else,else,x=a+b*log(y),-4.12,18.97,,
ES,SP-ARSA,,,2016,current,WingSpread,1,Cal_DoorSpread,,,0,60,x=a+b*y,4.65,0.23,,
ES,SP-ARSA,,,2016,current,WingSpread,1,Cal_DoorSpread,,,else,else,x=a+b*y,8.17,0.13,,
ES,SP-ARSA,,,2016,current,WingSpread,2,Depth,,,0,60,x=a+b*log(y),-0.43,4.69,,
ES,SP-ARSA,,,2016,current,WingSpread,2,Depth,,,else,else,x=a+b*log(y),7.22,2.51,,
IE,IE-IGFS,,,2016,current,DoorSpread,1,Depth,,,0,60,x=a+b*log(y),42.51,9.63,,
IE,IE-IGFS,,,2016,current,DoorSpread,1,Depth,,,else,else,x=a+b*log(y),28.78,17.92,,
IE,IE-IGFS,,,2016,current,WingSpread,1,Cal_DoorSpread,,,0,60,x=a+b*y,12.27,0.11,,
IE,IE-IGFS,,,2016,current,WingSpread,1,Cal_DoorSpread,,,else,else,x=a+b*y,13.32,0.08,,
IE,IE-IGFS,,,2016,current,WingSpread,2,Depth,,,0,60,x=a+b*log(y),12.83,2.1,,
IE,IE-IGFS,,,2016,current,WingSpread,2,Depth,,,else,else,x=a+b*log(y),14.29,1.79,,
IE,IE-IAMS,,,2016,current,DoorSpread,1,Depth,,,,,x=a+b*log(y),18.54,14.07,,
IE,IE-IAMS,,,2016,current,WingSpread,1,Cal_DoorSpread,,,,,x=a+b*y,10.16,0.2,,
IE,IE-IAMS,,,2016,current,WingSpread,2,Depth,,,,,x=a+b*log(y),14.69,2.7,,
