Survey,Quarter,Year,Ship,Country
BTS,1,2021,74E9,GB 
BTS,1,2021,74E9,GB 
BTS,1,2022,74E9,GB 
BTS,1,2022,74E9,GB 
BTS,3,2004,11BE,BE
BTS,3,2005,11BE,BE
BTS,3,2006,11BE,BE
BTS,3,2007,11BE,BE
BTS,3,2008,64T2,NL
BTS,3,2008,11BE,BE
BTS,3,2009,11BE,BE
BTS,3,2009,64T2,NL
BTS,3,2010,64T2,NL
BTS,3,2011,06SL,DE    
BTS,3,2011,64T2,NL
BTS,3,2012,64T2,NL
BTS,3,2013,64T2,NL
BTS,3,2013,11BE,BE
BTS,3,2014,64T2,NL
BTS,3,2014,11BE,BE
BTS,3,2015,64T2,NL
BTS,3,2015,11TQ,BE
BTS,3,2016,64T2,NL
BTS,3,2016,11TQ,BE
BTS,3,2017,64T2,NL
BTS,3,2017,11BE,BE
BTS,3,2018,64T2,NL
BTS,3,2019,64T2,NL
BTS,3,2020,64T2,NL
BTS,3,2021,06SL,DE    
BTS,3,2021,74E9,GB 
BTS,3,2021,74E9,GB 
BTS,3,2021,45CE,BE
BTS,3,2021,64T2,NL
BTS,3,2022,64T2,NL
BTS,3,2022,11BU  ,BE
BTS,3,2022,06SL,DE    
BTS,3,2022,74E9,GB 
BTS-VIII,4,2021,35C4,FR
DYFS,3,2004,11BR,BE
DYFS,3,2005,11BR,BE
DYFS,3,2006,11BR,BE
DYFS,3,2007,11BR,BE
DYFS,3,2008,11BR,BE
DYFS,3,2008,AA36,DE    
DYFS,3,2009,AA36,DE    
DYFS,3,2009,11BR,BE
DYFS,3,2010,AA36,DE    
DYFS,3,2011,AA36,DE    
DYFS,3,2012,AA36,DE    
DYFS,3,2012,06NQ,DE    
DYFS,3,2014,11SS,BE
DYFS,3,2015,11SS,BE
DYFS,3,2015,AA36,DE    
DYFS,3,2015,06GU  ,DE    
DYFS,3,2015,06MF  ,DE    
DYFS,3,2015,06NX  ,DE    
DYFS,3,2015,06NQ,DE    
DYFS,3,2016,64LC,NL
DYFS,3,2016,11SS,BE
DYFS,3,2016,06GU  ,DE    
DYFS,3,2016,06MF  ,DE    
DYFS,3,2016,06NX  ,DE    
DYFS,3,2016,AA36,DE    
DYFS,3,2017,11SS,BE
DYFS,3,2017,AA36,DE    
DYFS,3,2017,06GU  ,DE    
DYFS,3,2017,06NX  ,DE    
DYFS,3,2017,06MF  ,DE    
DYFS,3,2018,64LC,NL
DYFS,3,2018,11SS,BE
DYFS,3,2018,AA36,DE    
DYFS,3,2018,06GU  ,DE    
DYFS,3,2018,06NQ,DE    
DYFS,3,2018,06NX  ,DE    
DYFS,3,2019,11SS,BE
DYFS,3,2019,AA36,DE    
DYFS,3,2019,06GU  ,DE    
DYFS,3,2019,06NX  ,DE    
DYFS,3,2019,06MF  ,DE    
DYFS,3,2020,64LC,NL
DYFS,3,2020,11SS,BE
DYFS,3,2020,64SS,NL
DYFS,3,2020,AA36,DE    
DYFS,3,2020,06NQ,DE    
DYFS,3,2020,06GU  ,DE    
DYFS,3,2020,06MF  ,DE    
DYFS,3,2020,06NX  ,DE    
DYFS,3,2021,64LC,NL
DYFS,3,2021,64ST,NL
DYFS,3,2021,06M6  ,DE    
DYFS,3,2021,11SS,BE
DYFS,3,2021,AA36,DE    
DYFS,3,2021,06GU  ,DE    
DYFS,3,2021,06NX  ,DE    
DYFS,3,2022,11SS,BE
DYFS,3,2022,64SS,NL
DYFS,3,2022,64ST,NL
DYFS,3,2022,06NQ,DE    
DYFS,3,2022,06MF  ,DE    
DYFS,3,2022,AA36,DE    
DYFS,3,2022,06GU  ,DE    
DYFS,3,2022,06NX  ,DE    
DYFS,3,2022,64LC,NL
DYFS,4,2008,AA36,DE    
DYFS,4,2011,AA36,DE    
DYFS,4,2012,AA36,DE    
DYFS,4,2015,AA36,DE    
DYFS,4,2018,06MF  ,DE    
DYFS,4,2019,64SS,NL
DYFS,4,2020,64SS,NL
DYFS,4,2020,06NQ,DE    
DYFS,4,2021,64SS,NL
DYFS,4,2022,64SS,NL
EVHOE,4,2021,35HT,FR
EVHOE,4,2022,35HT,FR
FR-CGFS,4,2021,35HT,FR
FR-CGFS,4,2022,35HT,FR
IE-IAMS,1,2021,45CE,IE
IE-IAMS,2,2021,45CE,IE
IE-IGFS,4,2021,45CE,IE
NIGFS,1,2017,74RY,GB-NIR
NIGFS,1,2021,74RY,GB-NIR
NIGFS,4,2017,74RY,GB-NIR
NIGFS,4,2021,74RY,GB-NIR
NS-IBTS,1,2018,748S  ,GB-SCT
NS-IBTS,1,2018,26D4,SE 
NS-IBTS,1,2018,58G2,NO    
NS-IBTS,1,2019,26D4,DK
NS-IBTS,1,2020,58G2,NO    
NS-IBTS,1,2021,748S  ,GB-SCT
NS-IBTS,1,2021,58G2,NO    
NS-IBTS,1,2022,26D4,DK
NS-IBTS,1,2022,748S  ,GB-SCT
NS-IBTS,1,2022,06NI  ,DE    
NS-IBTS,1,2022,35HT,FR
NS-IBTS,1,2022,58G2,NO    
NS-IBTS,1,2022,77SE,SE 
NS-IBTS,1,2022,64T2,NL
NS-IBTS,1,2023,64T2,NL
NS-IBTS,1,2023,748S  ,GB-SCT
NS-IBTS,1,2023,26D4,DK
NS-IBTS,1,2023,06NI  ,DE    
NS-IBTS,1,2023,77SE,SE 
NS-IBTS,1,2023,58G2,NO    
NS-IBTS,1,2023,35HT,FR
NS-IBTS,3,2013,26D4,SE 
NS-IBTS,3,2017,748S  ,GB-SCT
NS-IBTS,3,2018,58UO  ,NO    
NS-IBTS,3,2019,58UO  ,NO    
NS-IBTS,3,2020,58UO  ,NO    
NS-IBTS,3,2021,77SE,SE 
NS-IBTS,3,2021,26D4,DK
NS-IBTS,3,2021,748S  ,GB-SCT
NS-IBTS,3,2021,74E9,GB 
NS-IBTS,3,2021,26D4,DE    
NS-IBTS,3,2021,58UO  ,NO    
NS-IBTS,3,2022,748S  ,GB-SCT
NS-IBTS,3,2022,77SE,SE 
NS-IBTS,3,2022,06NI  ,DE    
NS-IBTS,3,2022,26D4,DK
NS-IBTS,3,2022,58UO  ,NO    
NS-IBTS,3,2022,74E9,GB 
PT-IBTS,4,2021,68R6  ,PT
SCOROC,3,2021,748S  ,GB-SCT
SCOROC,3,2022,748S  ,GB-SCT
SCOWCGFS,4,2021,748S  ,GB-SCT
SCOWCGFS,4,2022,748S  ,GB-SCT
SNS,3,2021,64SS,NL
SNS,3,2022,64SS,NL
SP-ARSA,1,2018,29MO,ES 
SP-ARSA,1,2020,29MO,ES 
SP-ARSA,1,2022,29MO,ES 
SP-ARSA,4,2018,29MO,ES 
SP-ARSA,4,2022,29VE,ES 
SP-NORTH,4,2004,29CS,ES 
SP-NORTH,4,2005,29CS,ES 
SP-NORTH,4,2006,29CS,ES 
SP-NORTH,4,2007,29CS,ES 
SP-NORTH,4,2008,29CS,ES 
SP-NORTH,4,2009,29CS,ES 
SP-NORTH,4,2010,29CS,ES 
SP-NORTH,4,2011,29CS,ES 
SP-NORTH,4,2012,29CS,ES 
SP-NORTH,4,2013,29MO,ES 
SP-NORTH,4,2014,29MO,ES 
SP-NORTH,4,2015,29MO,ES 
SP-NORTH,4,2016,29MO,ES 
SP-NORTH,4,2017,29MO,ES 
SP-NORTH,4,2018,29MO,ES 
SP-NORTH,4,2019,29MO,ES 
SP-NORTH,4,2020,29MO,ES 
SP-NORTH,4,2021,29MO,ES 
SP-NORTH,4,2021,29VE,ES 
SP-NORTH,4,2022,29MO,ES 
SP-PORC,3,2004,29VE,ES 
SP-PORC,3,2005,29VE,ES 
SP-PORC,3,2006,29VE,ES 
SP-PORC,3,2007,29VE,ES 
SP-PORC,3,2008,29VE,ES 
SP-PORC,3,2009,29VE,ES 
SP-PORC,3,2010,29VE,ES 
SP-PORC,3,2011,29VE,ES 
SP-PORC,3,2012,29VE,ES 
SP-PORC,3,2013,29VE,ES 
SP-PORC,3,2015,29VE,ES 
SP-PORC,3,2016,29VE,ES 
SP-PORC,3,2017,29VE,ES 
SP-PORC,3,2018,29VE,ES 
SP-PORC,3,2019,29VE,ES 
SP-PORC,3,2020,29VE,ES 
SP-PORC,3,2021,29VE,ES 
SP-PORC,3,2022,29VE,ES 
